Firm Name,Website,Practice Areas,Attorney Count,Notes,Outreach Status,Needs Research
"DEVRIES & ASSOCIATES, PC",,general_practice,7,,Not Started,Yes - practice areas unknown or uncategorized
HABEMCO LLC,https://www.habemco.com,"Business Services, Tribal Enterprise Law, Legal/Compliance",1,Not traditional law firm. Tribal enterprises support org. Native American tribal affiliation.,Not Started,
HADEL & ASSOCIATES,,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
HAMILTON & ASSOCIATES,www.law-kc.com,general_practice,2,,Not Started,Yes - practice areas unknown or uncategorized
"HUBBARD & KURTZ, LLP",https://mokanlaw.com,"Personal Injury, Wrongful Death, Medical Malpractice",1,Founded 1976; 2 Super Lawyers; 60+ years combined experience; trial background,Not Started,
"HUBBELL LAW FIRM, LLC",https://www.lawinfo.com/lawfirm/missouri/kansas-city/hubbell-law-firm-llc/,"Real Estate, Business & Trade, Copyright, Trademark, Land Use & Zoning",1,Established multi-jurisdictional business law focus; Super Lawyers directory,Not Started,
HUGHES HUBBARD & REED LLP,https://www.hugheshubbard.com/locations/kansas-city,"Litigation, Product Liability, Toxic Tort, Complex Business Disputes",1,National firm; 382 Super Lawyers attorneys; KC office 2012+; David Woods (trial lawyer),Not Started,
"HUMPHREY, FARRINGTON & MCCLAIN, PC",https://hfmlegal.com,"Personal Injury, Wrongful Death, Consumer Litigation, Medical Malpractice",1,Founded 1984; $1.5B in verdicts/settlements over 40 years; complex PI specialty,Not Started,
"HUNTER & CASSIDY, LLC",https://www.huntercassidylaw.com,"Personal Injury, Product Liability, Business Litigation, Insurance Disputes",1,2 Super Lawyers-selected; former insurance defense; now plaintiff-side; strong trial rep,Not Started,
"HUNTER LAW GROUP, P.A.",,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
HUSCH BLACKWELL LLP,https://www.huschblackwell.com/offices/kansascity_mo,"Corporate Law, Litigation, Real Estate, Healthcare, Financial Services",1,Full-service national firm; 382 Super Lawyers; 19 offices; industry-specific practices,Not Started,
"Jon R. Dedon, Jeffrey T. Donoho, Katy L. Houchin, Leigh Ann Massey, Cody D. Miller, Daniel A. Saathoff, Danielle M. Wallace, Mit S. Winter) (Firm Manager: Kelly G. Bieri) (Partner/Attorney: John C. Kennyhertz, Braden Perry)",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
KANSAS CITY INJURY LAW GROUP (KCILG),,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
KANSAS LEGAL GROUP,,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
KC DEFENSE COUNSEL,,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
KENDALL LAW GROUP LLC,,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
"LAUREN ALLEN, LLC",https://www.laurenallenllc.com,"Civil Litigation, Plaintiff Personal Injury, Products Liability",1,Solo practitioner; 20 years experience; Lauren Perkins Allen Super Lawyers-selected,Not Started,
"LAWSON JADRIC SORENSEN, LLC",https://www.kclawpractice.com,"Family Law, Adoptions, Estate Planning, Probate Law, Trademark Law",1,3-attorney partnership; 2 Super Lawyers-selected; Kansas/Missouri licensed; **ICP FIT: Family Law**,Not Started,
LEGAL AID OF WESTERN MISSOURI,https://lawmo.org,"Family Law/Domestic Violence, Housing, Foreclosure, Healthcare, Consumer, Immigration",1,Non-profit; only comprehensive free civil legal services in western Missouri; LSC grantee; not target ICP,Not Started,Yes - practice areas unknown or uncategorized
"LEVERAGE LAW GROUP, LLC",,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
"M.A. NIGRO AND ASSOCIATES, LLC",,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
"MANEKE LAW GROUP, LC",,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
"MANNTUCKERMUIRGORDON, LLC.",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
MANSON KARBANK MCCLAFLIN,,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
MARCHAEL CONSULTING,,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
MARK & BURKHEAD,,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"MARSHALL, WILLIAM N., III, ATTORNEY AT LAW",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"MARTIN; PRINGLE, OLIVER, WALLACE & BAUER, LLP",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"MARTSCHING LAW FIRM, LLC",https://www.martschinglaw.com,"Family Law, Estate Planning, Divorce, Child Custody, Property Division",1,Founded 1998; Carrie Martsching licensed MO/KS/NE; Liberty MO; **ICP FIT: Family Law + Estate**,Not Started,
"MATHEWS GROUP, LC",,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
MATTEUZZI LAW,https://ma2zlaw.com,"Civil Litigation, Transportation/Trucking Defense, Insurance Defense, Catastrophic Injury, Wrongful Death, Product Liability, Construction",1,Michael D. Matteuzzi 30+ years trial experience Super Lawyers; taught trial at UMKC; multi-state,Not Started,
MAUER LAW FIRM PC,https://www.mauerlawfirm.com,"Commercial Litigation, Employment Law, Trust Litigation, Banking Law, Product Liability, Municipal Litigation, Eminent Domain",1,"Founded by former BigLaw attorneys; serves financial institutions, municipalities; City Attorneys",Not Started,
"MAYER & ASSOCIATES, P.C.",,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
"MAYER, WILLIAM A.",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"MCANANY, VAN CLEAVE & PHILLIPS, PA",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"MCCALLEY, GORHAM AND BOWMAN, PC",,"General Practice, Attorneys",1,"Located Richmond MO (~30 miles from KC, OUTSIDE primary market); Lafayette County area; minimal web presence",Not Started,Yes - practice areas unknown or uncategorized
"MCCALLISTER LAW FIRM, PC",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"MCCARTHY LAW FIRM, P.C.",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
MCNEIL & ASSOCIATES,,general_practice,6,,Not Started,Yes - practice areas unknown or uncategorized
MDIVANI CORPORATE IMMIGRATION LAW FIRM,,family/estate/immigration/real_estate/M&A,9,,Not Started,Yes - practice areas unknown or uncategorized
MISSOURI DWI & CRIMINAL LAW CENTER AT BENJAMIN LAW FIRM,,criminal,8,,Not Started,Yes - practice areas unknown or uncategorized
MISSOURI STATE PUBLIC DEFENDER - GLADSTONE,,criminal,22,,Not Started,Yes - practice areas unknown or uncategorized
NIEMANN LAW GROUP,,general_practice,12,,Not Started,Yes - practice areas unknown or uncategorized
"NORTH, BASIL L., JR., & ASSOCIATES",,general_practice,8,,Not Started,Yes - practice areas unknown or uncategorized
Page Footer,,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"ROBB, TAYLOR & O’CONNOR",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
"ROBERTSON LAW GROUP, THE",,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
"SHAW, STACY & ASSOCIATES, LLC",,general_practice,8,,Not Started,Yes - practice areas unknown or uncategorized
"SHEPHERD ELDER LAW GROUP, LLC",,general_practice,12,,Not Started,Yes - practice areas unknown or uncategorized
SWL INJURY LAWYERS,,PI/contingency,1,,Not Started,Yes - practice areas unknown or uncategorized
TURNER & SWEENEY,,,,,Not Started,Yes - practice areas unknown or uncategorized
Visual Elements,,unknown,5,,Not Started,Yes - practice areas unknown or uncategorized
"WALLENTINE INJURY LAW FIRM, LLC",,PI/contingency,1,,Not Started,Yes - practice areas unknown or uncategorized
