Firm Name,Address,Phone,Fax,Website,Key Contacts,Attorney Count (Est.),ICP Score (1-5),Practice Areas,Firm Size Bucket,ICP Notes,Outreach Status,Last Contact,Next Follow-up,Notes
"ALVAREZ LAW FIRM, P.C.","THE 851 NW 45th St, Ste 103, Kansas City, MO 64116-4613",(816) 459-4900,www.alvarezlawkc.com,3,"Immigration, Social Security & Disability, Personal Injury, Wrongful Death, Employee Benefits, Criminal Law, Family Law",1,medium,"Solo practitioner (Robert Anthony Alvarez, licensed MO+KS). General practice mix. Some family law, but primary focus appears to be immigration + disability. Established 2007. Limited family law emphasis.",,,Not Started,,,
HAZELTON & LANER LLP,"4600 Madison, Ste. 650, Kansas City, MO 64112-3032",(816) 753-5678,,3,"General Civil Practice, Corporate Law, Probate, Real Estate, Taxation",3,medium,3 attorneys. General civil practice with probate. Some estate focus but limited details. Moderate ICP alignment.,,,Not Started,,,
"HUTCHINGS & SCHWAPPACH, LLC","510 Walnut, Ste. 100, Kansas City, MO 64106",(816) 471-5111,www.kcaccidentattorneys.com,3,"Personal Injury, Family Law, Juvenile Law, Estate Planning",79,medium,"79 attorneys (large firm). Multiple practice areas including family law and estate planning, but personal injury is primary. Mixed signals on ICP.",,,Not Started,,,
KAPKE WILLERTH LLC,"2405 Grand Blvd., Ste. 800, Kansas City, MO 64108",(816) 221-9445,,4,"Civil Litigation, Real Estate, Probate & Estate Planning, Trust Administration, Employment Disputes, Personal Injury",1,medium,1 attorney per input. Over 40 years experience. Lee's Summit base. Estate planning & probate focus fits ICP. Website limited content but multiple practice areas indicate small multi-practice firm.,,,Not Started,,,
LAW FIRM OF KEVIN STUART CAVANAUGH,"4707 College Blvd, Ste 208, Leawood, KS 66211-2081",(913) 624-9547,,1,unknown,1,medium,"Solo practice in Leawood, KS. Insufficient information for ICP assessment.",,,Not Started,,,
"MCLEAN, ROGER W., P.A.",,,,2,"Personal Injury, Auto Accidents, Wrongful Death",7,medium,"Solo practitioner with 40 years experience. Personal injury focus only. Limited to individual cases, not firm-focused.",,,Not Started,,,
MCLEOD LAW FIRM P.C.,,,,2,"Medical Malpractice, Commercial Litigation, Personal Injury, Mediation",7,medium,Solo practitioner - Richard McLeod. Primarily ADR/mediation. Not a fit for CaseDelta's platform (individual focus).,,,Not Started,,,
"MCMAHON, JOHN C., LAW OFFICE OF",,,,1,"Patent Law, Trademark, Copyright, IP Law",7,medium,"IP specialist, now part of Avek IP LLC. Does not handle litigation or document-heavy practice areas. Low ICP fit.",,,Not Started,,,
MCQUAIN & ROSENBLOOM PC,,,,3,"Tax Law, Business Law, Family Law",9,medium,Tax-focused firm with some family law. Founded 1982. Moderate litigation involvement. ICP candidate but tax-heavy.,,,Not Started,,,
"MCROBERTS & HARTIS, P.C.",,,,2,"Environmental Law, Real Estate, Compliance, Transactional",9,medium,Environmental/real estate specialists. Not litigation-focused. Environmental compliance niche. Low document analysis value.,,,Not Started,,,
"MENCL LAW FIRM, THE",,,,2,Personal Injury,7,medium,Solo/small firm. Lee's Summit location. Personal injury only. Limited upside.,,,Not Started,,,
"MEYERS, SHARON J., LAW OFFICES OF",,,,1,Social Security Disability,8,medium,Specialized SSDI practice. Administrative law focus. Not litigation-heavy. Low document analysis value for CaseDelta.,,,Not Started,,,
MILLER & COMPANY P.C.,,,,1,"International Trade Law, Customs Law, Import/Export, Foreign Trade Zones",9,medium,International trade specialist. Niche area. Not litigation-focused. Document analysis minimal value.,,,Not Started,,,
NAPOLI SHKOLNIK,,,,3,"Personal Injury, Mass Torts, Class Actions, Product Liability",6,medium,"National firm with Overland Park office. $20B+ in settlements. Class action/mass tort focus. Large sophisticated firm, may not need CaseDelta.",,,Not Started,,,
"NASTEFF & QUINN, LLC",,,,3,"Employment Law, Business Litigation, Personal Injury, Special Education Law",8,medium,"Founded 2015. Amy Quinn + Mark Nasteff partners. Mixed practice (employment, litigation). Moderate ICP candidate.",,,Not Started,,,
"NATHAN C. HARBUR, CHTD.",,,,2,"Personal Injury, Business Law, Real Estate, Corporate Law",8,medium,Solo practitioner. 40+ years experience. General practice. Limited to individual/small business clients.,,,Not Started,,,
"NEWHOUSE BYERS SWANEY & JEFFERS, P.C.",,,,2,"Estate Planning, Real Estate, Wills",6,medium,"Independence, MO location (Kansas City metro). Small firm. Estate planning + real estate. Limited litigation exposure.",,,Not Started,,,
NICOL MEDIATION LLC,,,,1,"Mediation, ADR, Civil Disputes",6,medium,Mediation specialist (Jonathon Nicol). ADR-focused. Not litigation firm. Low document analysis value.,,,Not Started,,,
ODLE LAW FIRM,,,,1,"Entertainment Law, Sports Law, Commercial Litigation, Labor Law, Civil Rights",7,medium,"Parkville, MO. Opened 2021. Boutique entertainment/sports focus. Solo practitioner. Low ICP relevance.",,,Not Started,,,
"ROTH DAVIES, LLC",,,,3,"Personal Injury, Criminal Defense, Family Law",1,medium,"Overland Park, KS. Multi-practice (PI, criminal, family). Family law is one of three areas. Limited estate planning focus.",,,Not Started,,,
"RUSSELL, C. ANDERSON, LAW OFFICE",,,,2,General Practice,1,medium,Solo practitioner. Limited web presence. Baltimore Ave location. General practice.,,,Not Started,,,
"SALMON, STEVEN B., LAW OFFICES OF",,,,3,"Criminal Law, Family Law",1,medium,"Solo/small firm. Criminal law primary, family law secondary. 32+ years experience. Limited ICP fit.",,,Not Started,,,
"SHAPIRO & KREISMAN, LLC",,,,2,"Real Estate, Bankruptcy, Commercial Litigation",9,medium,"Multi-location (Earth City, Mission KS, Overland Park KS). Real estate & bankruptcy focus. Not family law.",,,Not Started,,,
"SHAPIRO LAW OFFICE, P.A.",,,,3,"Transportation Law, Collections, Business Litigation, Family Law, Real Estate",8,medium,"Overland Park, KS. Established 2004. Multi-practice firm. Family law is one of several areas.",,,Not Started,,,
"SUMMERS LAW FIRM, LC",,,,5,"Probate, Business Law, Trusts & Estates",1,medium,Estate & probate specialist. Strong ICP fit (trusts & estates). Limited information available.,,,Not Started,,,
TAHIRKHELI & PREMER-CHAVEZ LAW OFFICE,,,,3,"Criminal Defense, Personal Injury, Family Law, Estate Planning",1,medium,Multi-location (Liberal & KC). Mixed criminal/personal injury/family focus. Moderate ICP fit (has family law).,,,Not Started,,,
"TEEL LAW FIRM, LLC",,,,3,"Personal Injury, Probate, Business, Criminal Law",1,medium,Kansas City-based. Mixed practice including probate. Limited signals on full scope.,,,Not Started,,,
"TRADER & SULLIVAN, L.L.C.",,,,1,"Personal Injury, Product Liability",1,medium,Search returned Sullivan Law LLC info. Assume similar personal injury focus. Not target ICP.,,,Not Started,,,
WELCH & WEBB LLC,,,,3,"Personal Injury, Criminal Defense, Estate Planning, Probate",1,medium,"Small firm with mixed practice. Limited signals on size. Not strong ICP fit (personal injury focused, not family law).",,,Not Started,,,
"WHIPPLE LAW FIRM, PC",,,,2,"Workers Compensation, Personal Injury, Disability, Estate Planning, Traffic",1,medium,Small firm with mixed practice including estate planning. Kansas City area. Limited ICP fit.,,,Not Started,,,
"WICKERSHAM, STEVEN K., LAW OFFICE OF",,,,2,"Workers Compensation, Personal Injury, Family Law, Social Security, Employment Law",1,medium,Solo attorney with 49 years licensed. Mixed practice including family law. Limited firm size.,,,Not Started,,,
"WICKHAM & WOOD, LLC",,,,2,"Labor Law, Workers Compensation, Employment Discrimination, Personal Injury",1,medium,20+ year history serving labor unions. Labor & employment focus. Not target ICP.,,,Not Started,,,
"WILKINS, FRED, LAW OFFICE OF",,,,1,Alternative Dispute Resolution,1,medium,Top-rated ADR attorney (deceased Apr 2025). Not target ICP.,,,Not Started,,,
ACCURSO & ASSOCIATES LLC,"7211 N.W. 83rd St., Ste. 200, Kansas City, MO 64152",(816) 587-4529,www.accursolawkc.com,3,general_practice,1,,,,,Not Started,,,
ALSPAUGH FAMILY LAW,"310 Armour Rd, Ste 204, Kansas City, MO 64116-3541",(816) 751-0580,,3,family/estate/immigration/real_estate/M&A,1,,,,,Not Started,,,
ANDERSEN & ASSOCIATES,"7465 W. 132nd St., Ste. 100, Overland Park, KS 66213",(913) 685-7000,,3,general_practice,9,,,,,Not Started,,,
ANDERSON & ASSOCIATES,"1903 Wyandotte St Ste 100, Kansas City, MO 64108",(913) 262-2207,www.mokslaw.com,3,general_practice,4,,,,,Not Started,,,
"B. Hurd, Kameron Kelly, Thomas B. Luebbering, Gregory J. Skoch, Paul Walker, Matthew B. Walters)","14425 College Blvd., Suite 170, Lenexa, KS 66215",,,2,unknown,1,,,,,Not Started,,,
BRADY & ASSOCIATES LAW OFFICE,,,,3,general_practice,8,,,,,Not Started,,,
"BRENTON LAW GROUP, PA",,,,3,general_practice,6,,,,,Not Started,,,
CHELEPIS & ASSOCIATES,"8695 College Blvd, Ste. 200, Shawnee Mission, KS 66210",(913) 338-0590,chelepis.com,3,general_practice,1,,,,,Not Started,,,
"CHINNERY EVANS & NAIL, PC","800 N.E. Vanderbilt Ln., Lee’s Summit, MO 64064",(816) 525-2050,www.chinnery.com,3,unknown,9,,,,,Not Started,,,
"COLLABORATIVE LEGAL SOLUTIONS, LC","6320 Brookside Plaza, Ste. 182, Kansas City, MO 64113",(913) 904-6207,www.clslaw-firm.com,3,litigation/employment/healthcare/tax,1,,,,,Not Started,,,
"COMMERCIAL LAW GROUP, PA","8101 College Boulevard, Ste 100, Overland Park, KS 66210",(913) 345-8855,www.commerciallawgroup.net,3,general_practice,1,,,,,Not Started,,,
DAVIS FAMILY LAW,"4707 College Blvd, Ste 208, Leawood, KS 66211-2081",(913) 624-9547,,5,family/estate/immigration/real_estate/M&A,7,,,,,Not Started,,,
DEVAUGHN JAMES INJURY LAWYERS,"7501 N.W. Tiffany Springs Pkwy., Ste. 200, Kansas City, MO 64153-1960",(816) 880-9696,,2,PI/contingency,11,,,,,Not Started,,,
"DEVRIES & ASSOCIATES, PC","8101 College Boulevard, Ste 100, Overland Park, KS 66210",(913) 345-8855,,3,general_practice,7,,,,,Not Started,,,
HABEMCO LLC,"14425 College Blvd., Suite 170, Lenexa, KS 66215",(816) 472-9000,,2,unknown,1,,,,,Not Started,,,
HADEL & ASSOCIATES,"11005 Catalina, Leawood, KS 66211",(816) 561-4111,,3,general_practice,1,,,,,Not Started,,,
HAMILTON & ASSOCIATES,"216 N. Hwy. 7, P.O. Box 215, Pleasant Hill, MO 64080",(816) 540-2161,www.law-kc.com,3,general_practice,2,,,,,Not Started,,,
"HUBBARD & KURTZ, LLP","11005 Catalina, Leawood, KS 66211",(816) 561-4111,,2,unknown,1,,,,,Not Started,,,
"HUBBELL LAW FIRM, LLC","3500 W. 75th St., Ste. 300, Prairie Village, KS 66208",(913) 529-1188,,2,unknown,1,,,,,Not Started,,,
HUGHES HUBBARD & REED LLP,"511 Delaware St., Ste. 100, Kansas City, MO 64105",(816) 605-1734,,2,unknown,1,,,,,Not Started,,,
"HUMPHREY, FARRINGTON & MCCLAIN, PC","1111 Main St., Ste. 700, Kansas City, MO 64105",(816) 656-2540,,2,unknown,1,,,,,Not Started,,,
"HUNTER & CASSIDY, LLC","1400 N.W. 43rd Terr., Kansas City, MO 64116",(816) 507-3331,,2,unknown,1,,,,,Not Started,,,
"HUNTER LAW GROUP, P.A.","4707 College Blvd., Ste. 105, Leawood, KS 66211",(913) 345-0000,,3,general_practice,1,,,,,Not Started,,,
HUSCH BLACKWELL LLP,"216 N. Hwy. 7, P.O. Box 215, Pleasant Hill, MO 64080",(816) 540-2161,,2,unknown,1,,,,,Not Started,,,
"Jon R. Dedon, Jeffrey T. Donoho, Katy L. Houchin, Leigh Ann Massey, Cody D. Miller, Daniel A. Saathoff, Danielle M. Wallace, Mit S. Winter) (Firm Manager: Kelly G. Bieri) (Partner/Attorney: John C. Kennyhertz, Braden Perry)",,,,2,unknown,1,,,,,Not Started,,,
KANSAS CITY INJURY LAW GROUP (KCILG),"10408 E. 63rd Ter., Raytown, MO 64133-5154",(816) 358-5655,,3,general_practice,1,,,,,Not Started,,,
KANSAS LEGAL GROUP,"3145 Broadway Blvd, Kansas City, MO 64111",(816) 561-2555,,3,general_practice,1,,,,,Not Started,,,
KC DEFENSE COUNSEL,"1903 Wyandotte St., Ste. 100, Kansas City, MO 64108",(816) 897-6000,,3,general_practice,1,,,,,Not Started,,,
KENDALL LAW GROUP LLC,"2600 Grand Blvd, Ste 410, Kansas City, MO 64108-4601",(816) 875-1919,,3,general_practice,1,,,,,Not Started,,,
"KNIGHT NICASTRO MACKAY, LLC.","911 Main St., P.O. Box 220, Lexington, MO 64067-0220",(660) 259-4571,www.langdonemison.com,3,unknown,104,,,,,Not Started,,,
"LAUREN ALLEN, LLC",,,,2,unknown,1,,,,,Not Started,,,
LAW OFFICES OF RODERICK C. WHITE,,,,,,,,,,,Not Started,,,
"LAWSON JADRIC SORENSEN, LLC",,,,2,unknown,1,,,,,Not Started,,,
LEGAL AID OF WESTERN MISSOURI,,,,2,unknown,1,,,,,Not Started,,,
LEGAL AID OF WESTERN MISSOURI WEST OFFICE,,,,2,unknown,1,,,,,Not Started,,,
"LEVERAGE LAW GROUP, LLC",,,,3,general_practice,1,,,,,Not Started,,,
"M.A. NIGRO AND ASSOCIATES, LLC",,,,3,general_practice,1,,,,,Not Started,,,
"MANEKE LAW GROUP, LC",,,,3,general_practice,1,,,,,Not Started,,,
"MANNTUCKERMUIRGORDON, LLC.",,,,2,unknown,1,,,,,Not Started,,,
MANSON KARBANK MCCLAFLIN,,,,2,unknown,1,,,,,Not Started,,,
MARCHAEL CONSULTING,,,,2,unknown,1,,,,,Not Started,,,
MARK & BURKHEAD,,,,2,unknown,1,,,,,Not Started,,,
"MARSHALL, WILLIAM N., III, ATTORNEY AT LAW",,,,2,unknown,1,,,,,Not Started,,,
"MARTIN; PRINGLE, OLIVER, WALLACE & BAUER, LLP",,,,2,unknown,1,,,,,Not Started,,,
"MARTSCHING LAW FIRM, LLC",,,,2,unknown,1,,,,,Not Started,,,
"MATHEWS GROUP, LC",,,,3,general_practice,1,,,,,Not Started,,,
MATTEUZZI LAW,,,,2,unknown,1,,,,,Not Started,,,
MAUER LAW FIRM PC,,,,2,unknown,1,,,,,Not Started,,,
"MAYER & ASSOCIATES, P.C.",,,,3,general_practice,1,,,,,Not Started,,,
"MAYER, WILLIAM A.",,,,2,unknown,1,,,,,Not Started,,,
"MCANANY, VAN CLEAVE & PHILLIPS, PA",,,,2,unknown,1,,,,,Not Started,,,
"MCCALLEY, GORHAM AND BOWMAN, PC",,,,2,unknown,1,,,,,Not Started,,,
"MCCALLISTER LAW FIRM, PC",,,,2,unknown,1,,,,,Not Started,,,
"MCCARTHY LAW FIRM, P.C.",,,,2,unknown,1,,,,,Not Started,,,
MCNEIL & ASSOCIATES,,,,3,general_practice,6,,,,,Not Started,,,
MDIVANI CORPORATE IMMIGRATION LAW FIRM,,,,5,family/estate/immigration/real_estate/M&A,9,,,,,Not Started,,,
MISSOURI DWI & CRIMINAL LAW CENTER AT BENJAMIN LAW FIRM,,,,1,criminal,8,,,,,Not Started,,,
MISSOURI STATE PUBLIC DEFENDER - GLADSTONE,,,,1,criminal,22,,,,,Not Started,,,
NIEMANN LAW GROUP,,,,3,general_practice,12,,,,,Not Started,,,
"NORTH, BASIL L., JR., & ASSOCIATES",,,,3,general_practice,8,,,,,Not Started,,,
Page Footer,,,,2,unknown,1,,,,,Not Started,,,
"ROBB, TAYLOR & O’CONNOR",,,,2,unknown,1,,,,,Not Started,,,
"ROBERTSON LAW GROUP, THE",,,,3,general_practice,1,,,,,Not Started,,,
"SHAW, STACY & ASSOCIATES, LLC",,,,3,general_practice,8,,,,,Not Started,,,
"SHEPHERD ELDER LAW GROUP, LLC",,,,3,general_practice,12,,,,,Not Started,,,
STURDEVANT LAW OFFICE,,,,,,,,,,,Not Started,,,
STURDEVANT LAW OFFICE,,,,,,,,,,,Not Started,,,
SULLIVAN LAW L.L.C.,,,,,,,,,,,Not Started,,,
SULLIVAN LAW L.L.C.,,,,,,,,,,,Not Started,,,
"SUMMERS & JOHNSON, PC",,,,,**Address: ** 717 Thomas St.; **Address: Weston; **Address: MO 64098; **Phone: ** (816) 640-9940; **Fax: ** (816) 386-9927; **Website: ** www.summersandjohnson.com,6,,,,,Not Started,,,
"SUMMERS & JOHNSON, PC",,,,,,,,,,,Not Started,,,
"SUMMERS & JOHNSON, PC",,,,,,,,,,,Not Started,,,
"SUMMERS LAW FIRM, LC",,,,,,,,,,,Not Started,,,
"SUMMERS LAW FIRM, LC",,,,,,,,,,,Not Started,,,
"SUTTON LAW OFFICE, PA",,,,,**Address: ** 222 W. Gregory Blvd.; **Address: Ste. 4; **Address: 7211 W. 98th Ter.; **Address: Ste. 140; **Address: Overland Park; **Address: KS 66212; **Phone: ** (913) 385-0444; **Fax: ** (913) 341-1130; **Website: ** suttonlaw.com; **Partner: ** Nathan M. Sutton,10,,,,,Not Started,,,
"SUTTON LAW OFFICE, PA",,,,,,,,,,,Not Started,,,
"SUTTON LAW OFFICE, PA",,,,,,,,,,,Not Started,,,
SWANSON BERNARD LLC,,,,,**Address: ** Plaza West; **Address: 4600 Madison Ave; **Address: Kansas City; **Address: MO 64112-3031; **Phone: ** (816) 410-4600; **Fax: ** (816) 561-4498; **Website: ** www.swansonbernard.com; **Members: ** Daniel N. Allmayer; **Members: Matthew John Bock; **Members: Jonathan N. Dilly; **Members: James A. Durbin; **Members: Matthew L. Faul; **Members: Kenneth I. Fligg; **Members: Jr.; **Members: James F. Freeman; **Members: III; **Members: Vincent L. Gualtier; **Members: Tim S. Haverty; **Members: Daniel V. Hiatt; **Members: Sr.; **Members: Daniel V. Hiatt; **Members: Jr.; **Members: David G. Watkins; **Of Counsel: ** Sue Becker; **Of Counsel: James H. Bernard; **Of Counsel: Jr.; **Of Counsel: Rodney V. Hipp; **Of Counsel: Stephen P. Horn; **Of Counsel: Steven C. Krueger; **Of Counsel: John J. Miller; **Of Counsel: Lloyd W. Raber; **Attorney: ** Maria F. Caruso; **Attorney: Shannon Sinn; **Attorney: Thomas R. Watson; **Retired: ** Stanley M. Burnstein; **Retired: Roger T. Hurwitz,36,,,,,Not Started,,,
SWANSON BERNARD LLC,,,,,,,,,,,Not Started,,,
SWANSON BERNARD LLC,,,,,,,,,,,Not Started,,,
"SWARTZBAUGH, E. DAVID, LAW OFFICE",,,,,**Address: ** 436 E. 74th St.; **Address: Kansas City; **Address: MO 64131; **Phone: ** (816) 561-1221; **Fax: ** (816) 561-9355; **Solo Practitioner: ** E. David Swartzbaugh,6,,,,,Not Started,,,
"SWARTZBAUGH, E. DAVID, LAW OFFICE",,,,,,,,,,,Not Started,,,
"SWARTZBAUGH, E. DAVID, LAW OFFICE",,,,,,,,,,,Not Started,,,
SWL INJURY LAWYERS,,,,2,PI/contingency,1,,,,,Not Started,,,
SWL INJURY LAWYERS,,,,,**Address: ** 1100 Main St; **Address: Ste 2600; **Address: Kansas City; **Address: MO 64105-5194; **Phone: ** (816) 876-2133; **Managing Partner: ** Lucas Whitworth; **Partner: ** James F. Stigall; **Associate: ** Rick Schleipman; **Managing Partner & Founding Member: ** Jarrett Lee Leiker,9,,,,,Not Started,,,
SWL INJURY LAWYERS,,,,,,,,,,,Not Started,,,
SWL INJURY LAWYERS,,,,,,,,,,,Not Started,,,
"TAFRESHI LAW, LLC",,,,,**Address: ** 130 N. Cherry St.; **Address: Ste. 103; **Address: Olathe; **Address: KS 66061; **Phone: ** (913) 780-6666; **Fax: ** (913) 913-6565; **Website: ** www.tafreshilaw.com/; **Founding Attorney: ** Dana P. Tafreshi,8,,,,,Not Started,,,
"TAFRESHI LAW, LLC",,,,,,,,,,,Not Started,,,
"TAFRESHI LAW, LLC",,,,,,,,,,,Not Started,,,
TAHIRKHELI & PREMER-CHAVEZ LAW OFFICE,,,,,**Address: ** 6377 NW Sioux Dr 2nd Floor; **Address: Parkville; **Address: MO 64152; **Associate: ** Adam Tahirkheli,4,,,,,Not Started,,,
TAHIRKHELI & PREMER-CHAVEZ LAW OFFICE,,,,,,,,,,,Not Started,,,
TAHIRKHELI & PREMER-CHAVEZ LAW OFFICE,,,,,,,,,,,Not Started,,,
TAMMY HORN LLC,,,,,**Address: ** 10313 W. 140th St.; **Address: The Carriage House; **Address: Overland Park; **Address: KS 66221; **Phone: ** (816) 914-3207; **Website: ** www.tammyhornllc.com; **Owner: ** Tammy L. Horn,7,,,,,Not Started,,,
TAMMY HORN LLC,,,,,,,,,,,Not Started,,,
TAMMY HORN LLC,,,,,,,,,,,Not Started,,,
"TEEL LAW FIRM, LLC",,,,,**Address: ** 4810 Northeast Vivion Road; **Address: PO Box 11005; **Address: Kansas City; **Address: MO 64119-0005; **Phone: ** (816) 226-8519,5,,,,,Not Started,,,
"TEEL LAW FIRM, LLC",,,,,,,,,,,Not Started,,,
"TEEL LAW FIRM, LLC",,,,,,,,,,,Not Started,,,
"TERRIL LAW FIRM, LLC",,,,,,,,,,,Not Started,,,
"TERRIL LAW FIRM, LLC",,,,,,,,,,,Not Started,,,
THE WELDER FIRM,,,,,,,,,,,Not Started,,,
"THILGES BERNHARDT & ISAACS, ATTORNEYS AT LAW, LLC",,,,,**Address: ** 9300 W 110th St; **Address: Ste 500; **Address: Overland Park; **Address: KS 66210-1421; **Phone: ** (913) 491-4400; **Fax: ** (913) 491-6550; **Website: ** www.sbt-law.com; **Partner: ** Jacquelyn P. Bernhardt; **Partner: Amanda A. Thilges; **Associate: ** Meghan Castleman; **Associate: Amberlynn M. Isaacs,11,,,,,Not Started,,,
"THILGES BERNHARDT & ISAACS, ATTORNEYS AT LAW, LLC",,,,,,,,,,,Not Started,,,
"THILGES BERNHARDT & ISAACS, ATTORNEYS AT LAW, LLC",,,,,,,,,,,Not Started,,,
"THOMASON, MARK, LAW OFFICE OF, LLC",,,,,**Address: ** 929 Walnut St.; **Address: Ste. 101; **Address: Kansas City; **Address: MO 64106-2050; **Phone: ** (816) 229-8686; **Fax: ** (816) 229-9494; **Partner: ** Mark A. Thomason,7,,,,,Not Started,,,
"THOMASON, MARK, LAW OFFICE OF, LLC",,,,,,,,,,,Not Started,,,
"THOMASON, MARK, LAW OFFICE OF, LLC",,,,,,,,,,,Not Started,,,
"THOMPSON COBURN, LLP",,,,,**Address: ** One US Bank Plaza; **Address: Saint Louis; **Address: MO 63101; **Phone: ** (314) 552-6441; **Fax: ** (314) 552-7000; **Website: ** www.thompsoncoburn.com,6,,,,,Not Started,,,
"THOMPSON COBURN, LLP",,,,,,,,,,,Not Started,,,
"THOMPSON COBURN, LLP",,,,,,,,,,,Not Started,,,
"THOMPSON LAW OFFICES, P.C.",,,,,**Address: ** One Town Square; **Address: North Kansas City; **Address: MO 64116; **Phone: ** (816) 471-3414; **Fax: ** (816) 221-0232; **Website: ** www.thompsonlawoffice.com; **Managing Partner: ** James H. Thompson; **Managing Partner: Jr.,8,,,,,Not Started,,,
"THOMPSON LAW OFFICES, P.C.",,,,,,,,,,,Not Started,,,
"THOMPSON LAW OFFICES, P.C.",,,,,,,,,,,Not Started,,,
"THORNBERRY BROWN, LLC",,,,,**Address: ** 4550 Main St.; **Address: Ste. 205; **Address: Kansas City; **Address: MO 64111; **Phone: ** (816) 531-8383; **Fax: ** (816) 531-8385; **Website: ** www.thornberrybrown.com; **Member: ** Randall W. Brown; **Member: Stephen C. Thornberry,9,,,,,Not Started,,,
"THORNBERRY BROWN, LLC",,,,,,,,,,,Not Started,,,
"THORNBERRY BROWN, LLC",,,,,,,,,,,Not Started,,,
TOMASIC & REHORN,,,,,**Address: ** 417 N. 6th St.; **Address: P.O. Box 171855; **Address: Kansas City; **Address: KS 66117; **Phone: ** (913) 371-5750; **Fax: ** (913) 713-0065; **Website: ** www.tomasichorn.com; **Partner: ** Thomas Richard 'Rick' Rehorn; **Partner: III; **Partner: Denise E. Tomasic,10,,,,,Not Started,,,
TOMASIC & REHORN,,,,,,,,,,,Not Started,,,
TOMASIC & REHORN,,,,,,,,,,,Not Started,,,
"TONGIER, JOHN D., LLC",,,,,**Address: ** 14 Corporate Woods; **Address: Ste. 400; **Address: 8717 W. 110th St.; **Address: Overland Park; **Address: KS 66210-2101; **Phone: ** (913) 451-8383; **Fax: ** (913) 451-8530; **Website: ** www.thekclawfirm.com; **Member: ** John D. Tongier,9,,,,,Not Started,,,
"TONGIER, JOHN D., LLC",,,,,,,,,,,Not Started,,,
"TONGIER, JOHN D., LLC",,,,,,,,,,,Not Started,,,
"TRADER & SULLIVAN, L.L.C.",,,,,**Address: ** 3300 N.E. Ralph Powell Rd; **Address: Lee's Summit; **Address: MO 64064; **Phone: ** (816) 474-7874; **Fax: ** (816) 751-0577; **Member: ** Kathy J. Sullivan; **Member: John H. Trader,7,,,,,Not Started,,,
"TRADER & SULLIVAN, L.L.C.",,,,,,,,,,,Not Started,,,
"TRADER & SULLIVAN, L.L.C.",,,,,,,,,,,Not Started,,,
"TROPPITO MILLER GRIFFIN, LLC",,,,,**Address: ** 105 E. 5th St.; **Address: Ste. 500; **Address: Kansas City; **Address: MO 64106; **Phone: ** (816) 221-6006; **Website: ** www.troppitomiller.com; **Managing Attorney: ** Chris M. Troppito; **Attorney: ** S. Owen Griffin; **Attorney: Ryan D. Kiliian; **Attorney: Tony R. Miller; **Attorney: J. Timothy Yasso; **Attorney - Of Counsel: ** Michael K. McVey (Gabriel T. Hinkebein),12,,,,,Not Started,,,
"TROPPITO MILLER GRIFFIN, LLC",,,,,,,,,,,Not Started,,,
"TROPPITO MILLER GRIFFIN, LLC",,,,,,,,,,,Not Started,,,
TURNER & SWEENEY,,,,,,,,,,,Not Started,,,
TURNER & SWEENY,,,,,**Address: ** 10401 Holmes Rd STE. 250; **Address: Kansas City; **Address: MO 64131; **Phone: ** (816) 942-5100; **Fax: ** (816) 942-5104; **Website: ** www.turnersweeny.com; **Managing Partner: ** John E. Turner; **Partner: ** Christopher P. Sweeny,8,,,,,Not Started,,,
TURNER & SWEENY,,,,,,,,,,,Not Started,,,
TURNEY LG,,,,,**Address: ** 4900 Main St; **Address: Ste 160; **Address: Kansas City; **Address: MO 64112-2687; **Phone: ** (816) 379-3032; **Website: ** www.turneylg.com; **Member: ** Christopher B. Turney; **Associate: ** Ryan T. Nely,8,,,,,Not Started,,,
TURNEY LG,,,,,,,,,,,Not Started,,,
TURNEY LG,,,,,,,,,,,Not Started,,,
Visual Elements,,,,3,unknown,5,,,,,Not Started,,,
"WALLENTINE INJURY LAW FIRM, LLC",,,,2,PI/contingency,1,,,,,Not Started,,,
"WALLENTINE INJURY LAW FIRM, LLC",,,,,,,,,,,Not Started,,,
"WALTERS LAW FIRM, LLC",,,,,,,,,,,Not Started,,,
"WALTERS RENWICK RICHARDS & VAUGHAN, P.C.",,,,,,,,,,,Not Started,,,
"WARDEN GRIER, LLP",,,,,,,,,,,Not Started,,,
"WASSBERG, JOHN, LAW OFFICE, LLC",,,,,,,,,,,Not Started,,,
"WATSON & DAMERON, LLP",,,,,,,,,,,Not Started,,,
WATTERS WOLF BUB HANSMANN,,,,,,,,,,,Not Started,,,
WELCH & WEBB LLC,,,,,,,,,,,Not Started,,,
"WELLS LAW FIRM, PC, THE",,,,,,,,,,,Not Started,,,
WENDT LAW FIRM P.C.,,,,,,,,,,,Not Started,,,
"WHIPPLE LAW FIRM, PC",,,,,,,,,,,Not Started,,,
"WHITE, F.A., LAW OFFICE OF",,,,,,,,,,,Not Started,,,
"WHITE, GRAHAM, BUCKLEY & CARR, LLC",,,,,,,,,,,Not Started,,,
"WICKERSHAM, STEVEN K., LAW OFFICE OF",,,,,,,,,,,Not Started,,,
"WICKHAM & WOOD, LLC",,,,,,,,,,,Not Started,,,
WIEDNER & MCAULIFFE,,,,,,,,,,,Not Started,,,
"WIESNER & FRACKOWIAK, LC",,,,,,,,,,,Not Started,,,
WILKES & DUNN,,,,,,,,,,,Not Started,,,
